Local time,Ask,Bid,AskVolume,BidVolume
22.01.2024 08:30:10.291 GMT-0600,192.47299999999998,192.437,0.012,0.012
22.01.2024 08:30:10.341 GMT-0600,192.484,192.456,0.012,0.012
22.01.2024 08:30:10.442 GMT-0600,192.484,192.46599999999998,0.012,0.012
22.01.2024 08:30:10.492 GMT-0600,192.49400000000003,192.46599999999998,0.012,0.012
22.01.2024 08:30:10.593 GMT-0600,192.50400000000002,192.46599999999998,0.012,0.012
22.01.2024 08:30:10.643 GMT-0600,192.544,192.506,0.012,0.012
22.01.2024 08:30:10.744 GMT-0600,192.553,192.51700000000002,0.012,0.012
22.01.2024 08:30:10.794 GMT-0600,192.533,192.48700000000002,0.012,0.012
22.01.2024 08:30:10.845 GMT-0600,192.523,192.48700000000002,0.012,0.012
22.01.2024 08:30:10.945 GMT-0600,192.52400000000003,192.476,0.012,0.012
22.01.2024 08:30:11.195 GMT-0600,192.503,192.477,0.012,0.012
22.01.2024 08:30:11.246 GMT-0600,192.513,192.477,0.012,0.012
22.01.2024 08:30:11.296 GMT-0600,192.49400000000003,192.46599999999998,0.012,0.012
22.01.2024 08:30:11.397 GMT-0600,192.513,192.45700000000002,0.012,0.012
22.01.2024 08:30:11.455 GMT-0600,192.503,192.45700000000002,0.012,0.012
22.01.2024 08:30:11.707 GMT-0600,192.514,192.456,0.012,0.012
22.01.2024 08:30:11.758 GMT-0600,192.503,192.45700000000002,0.012,0.012
22.01.2024 08:30:11.858 GMT-0600,192.453,192.42700000000002,0.012,0.012
22.01.2024 08:30:11.959 GMT-0600,192.454,192.43599999999998,0.012,0.012
22.01.2024 08:30:12.110 GMT-0600,192.393,192.377,0.012,0.012
22.01.2024 08:30:12.313 GMT-0600,192.44299999999998,192.39700000000002,0.012,0.012
22.01.2024 08:30:12.363 GMT-0600,192.454,192.40599999999998,0.012,0.012
22.01.2024 08:30:12.416 GMT-0600,192.463,192.407,0.012,0.012
22.01.2024 08:30:12.968 GMT-0600,192.483,192.42700000000002,0.012,0.012
22.01.2024 08:30:13.219 GMT-0600,192.463,192.42700000000002,0.012,0.012
22.01.2024 08:30:13.369 GMT-0600,192.47400000000002,192.426,0.012,0.012
22.01.2024 08:30:13.620 GMT-0600,192.46400000000003,192.416,0.012,0.012
22.01.2024 08:30:13.721 GMT-0600,192.454,192.40599999999998,0.012,0.012
22.01.2024 08:30:13.872 GMT-0600,192.463,192.407,0.012,0.012
22.01.2024 08:30:14.072 GMT-0600,192.453,192.407,0.012,0.012
22.01.2024 08:30:14.223 GMT-0600,192.433,192.39700000000002,0.012,0.012
22.01.2024 08:30:14.274 GMT-0600,192.423,192.377,0.012,0.012
22.01.2024 08:30:14.475 GMT-0600,192.423,192.387,0.012,0.012
22.01.2024 08:30:14.625 GMT-0600,192.424,192.37599999999998,0.012,0.012
22.01.2024 08:30:14.776 GMT-0600,192.41400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:14.876 GMT-0600,192.40400000000002,192.346,0.012,0.012
22.01.2024 08:30:14.927 GMT-0600,192.413,192.347,0.012,0.012
22.01.2024 08:30:15.027 GMT-0600,192.403,192.347,0.012,0.012
22.01.2024 08:30:15.078 GMT-0600,192.41400000000002,192.346,0.012,0.012
22.01.2024 08:30:15.228 GMT-0600,192.40400000000002,192.346,0.012,0.012
22.01.2024 08:30:15.279 GMT-0600,192.41400000000002,192.346,0.012,0.012
22.01.2024 08:30:15.329 GMT-0600,192.41400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:15.379 GMT-0600,192.423,192.36700000000002,0.012,0.012
22.01.2024 08:30:15.730 GMT-0600,192.423,192.39700000000002,0.012,0.012
22.01.2024 08:30:15.781 GMT-0600,192.423,192.377,0.012,0.012
22.01.2024 08:30:15.881 GMT-0600,192.41400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:16.282 GMT-0600,192.38400000000001,192.36599999999999,0.012,0.012
22.01.2024 08:30:16.483 GMT-0600,192.41400000000002,192.37599999999998,0.012,0.012
22.01.2024 08:30:16.584 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:16.785 GMT-0600,192.413,192.377,0.012,0.012
22.01.2024 08:30:16.835 GMT-0600,192.423,192.36700000000002,0.012,0.012
22.01.2024 08:30:16.986 GMT-0600,192.424,192.37599999999998,0.012,0.012
22.01.2024 08:30:17.186 GMT-0600,192.40400000000002,192.37599999999998,0.012,0.012
22.01.2024 08:30:17.337 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:17.387 GMT-0600,192.413,192.387,0.012,0.012
22.01.2024 08:30:17.438 GMT-0600,192.424,192.386,0.012,0.012
22.01.2024 08:30:17.588 GMT-0600,192.41400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:17.840 GMT-0600,192.423,192.36700000000002,0.012,0.012
22.01.2024 08:30:17.890 GMT-0600,192.41400000000002,192.37599999999998,0.012,0.012
22.01.2024 08:30:17.940 GMT-0600,192.423,192.377,0.012,0.012
22.01.2024 08:30:18.091 GMT-0600,192.424,192.36599999999999,0.012,0.012
22.01.2024 08:30:18.141 GMT-0600,192.413,192.387,0.012,0.012
22.01.2024 08:30:18.192 GMT-0600,192.403,192.36700000000002,0.012,0.012
22.01.2024 08:30:18.242 GMT-0600,192.41400000000002,192.37599999999998,0.012,0.012
22.01.2024 08:30:18.293 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:18.443 GMT-0600,192.43400000000003,192.396,0.012,0.012
22.01.2024 08:30:18.494 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:18.544 GMT-0600,192.413,192.377,0.012,0.012
22.01.2024 08:30:18.594 GMT-0600,192.423,192.36700000000002,0.012,0.012
22.01.2024 08:30:18.745 GMT-0600,192.413,192.377,0.012,0.012
22.01.2024 08:30:18.846 GMT-0600,192.41400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:18.946 GMT-0600,192.41400000000002,192.386,0.012,0.012
22.01.2024 08:30:18.997 GMT-0600,192.41400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:19.148 GMT-0600,192.403,192.36700000000002,0.012,0.012
